grub-common,2.14~git20250718.0e36779-1ubuntu4
grub-efi-amd64,2.14~git20250718.0e36779-1ubuntu4
grub-efi-amd64-bin,2.14~git20250718.0e36779-1ubuntu4
grub-efi-amd64-signed,1.214+2.14~git20250718.0e36779-1ubuntu4
grub-efi-amd64-unsigned,2.14~git20250718.0e36779-1ubuntu4
grub-pc,2.14~git20250718.0e36779-1ubuntu4
grub2-common,2.14~git20250718.0e36779-1ubuntu4
gsasl-common,2.2.2-2ubuntu1
gsettings-desktop-schemas,49.0-1ubuntu1
gsettings-ubuntu-schemas,0.0.7+21.10.20210712-0ubuntu3
gstreamer1.0-alsa:amd64,1.26.6-1ubuntu0.1
gstreamer1.0-gl:amd64,1.26.6-1ubuntu0.1
gstreamer1.0-gtk3:amd64,1.26.5-1ubuntu2.1
gstreamer1.0-libav:amd64,1.26.6-1
gstreamer1.0-packagekit,1.3.1-1ubuntu1
gstreamer1.0-pipewire:amd64,1.4.7-3ubuntu2
gstreamer1.0-plugins-bad:amd64,1.26.5-1ubuntu2
gstreamer1.0-plugins-base:amd64,1.26.6-1ubuntu0.1
gstreamer1.0-plugins-base-apps,1.26.6-1ubuntu0.1
gstreamer1.0-plugins-good:amd64,1.26.5-1ubuntu2.1
gstreamer1.0-plugins-ugly:amd64,1.26.6-1
gstreamer1.0-tools,1.26.6-1
gstreamer1.0-vaapi:amd64,1.26.6-1
gstreamer1.0-x:amd64,1.26.6-1ubuntu0.1
gtk-update-icon-cache,4.20.1+ds-2
gtk2-engines-murrine:amd64,0.98.2-4
gtk2-engines-pixbuf:amd64,2.24.33-6ubuntu3
guestfish,1:1.54.1-2ubuntu3
guestfs-tools,1.52.3-1.1ubuntu1
gvfs:amd64,1.57.2-2ubuntu5.1
gvfs-backends,1.57.2-2ubuntu5.1
gvfs-common,1.57.2-2ubuntu5.1
gvfs-daemons,1.57.2-2ubuntu5.1
gvfs-fuse,1.57.2-2ubuntu5.1
gvfs-libs:amd64,1.57.2-2ubuntu5.1
gwenview,4:25.08.1-0ubuntu2
gwenview-doc,4:25.08.1-0ubuntu2
gzip,1.13-1ubuntu4
hdparm,9.65+ds-1.1
heif-gdk-pixbuf:amd64,1.20.2-1ubuntu0.1
heif-thumbnailer,1.20.2-1ubuntu0.1
heroic,2.18.1
hfsplus,1.0.4-19
hicolor-icon-theme,0.18-2
hostname,3.25
hplip,3.24.4+dfsg0-0ubuntu5
hplip-data,3.24.4+dfsg0-0ubuntu5
hunspell-en-us,1:2020.12.07-4
hwctl,0.9.3+us-0ubuntu1
hwdata,0.394-1
i965-va-driver:i386,2.4.1+dfsg1-2
ibus,1.5.32-2build1
ibus-data,1.5.32-2build1
ibus-gtk:amd64,1.5.32-2build1
ibus-gtk3:amd64,1.5.32-2build1
ibus-gtk4:amd64,1.5.32-2build1
ibus-table,1.17.11-1
ibus-table-cangjie-big,1.8.12-2
ibus-table-cangjie3,1.8.12-2
ibus-table-cangjie5,1.8.12-2
ibverbs-providers:amd64,56.1-1ubuntu1
ieee-data,20240722
iio-sensor-proxy,3.7-3
im-config,0.57-2
imagemagick-7-common,8:7.1.2.3+dfsg1-1
inetutils-telnet,2:2.6-1ubuntu3.1
info,7.1.1-1ubuntu1
init,1.68
init-system-helpers,1.68
initramfs-tools-bin,0.150ubuntu3.1
initramfs-tools-core,0.150ubuntu3.1
inputattach,1:1.8.1-2build1
install-info,7.1.1-1ubuntu1
intel-media-va-driver:i386,25.3.0+dfsg1-1
intel-microcode,3.20260210.0ubuntu0.25.10.1
intltool-debian,0.35.0+20060710.6
iperf3,3.18-2ubuntu0.1
ipp-usb,0.9.28-0ubuntu2
iproute2,6.16.0-1ubuntu2.1
iptables,1.8.11-2ubuntu2
iputils-ping,3:20240905-3ubuntu3
iputils-tracepath,3:20240905-3ubuntu3
ipxe-qemu,1.21.1+git-20250602.5b3ebf8b+dfsg-1ubuntu3
ipxe-qemu-256k-compat-efi-roms,1.0.0+git-20150424.a25a16d-0ubuntu7
isa-support:amd64,27ubuntu1
iso-codes,4.18.0-1
isoimagewriter,25.08.1-0ubuntu1
iucode-tool,2.3.1-3build1
